Date,Open,High,Low,Close,Adj Close,Volume
2022-03-11,1.191181,1.193267,1.154272,1.159521,1.159521,4112001
2022-03-12,1.159583,1.179555,1.150725,1.151893,1.151893,4745399
2022-03-13,1.151868,1.163024,1.102957,1.106946,1.106946,7663028
2022-03-14,1.106328,1.130515,1.089777,1.127844,1.127844,6202834
2022-03-15,1.127884,1.136351,1.087921,1.123300,1.123300,5581256
2022-03-16,1.123182,1.181188,1.101080,1.174697,1.174697,7739548
2022-03-17,1.174707,1.184328,1.161742,1.168087,1.168087,3384928
2022-03-18,1.167636,1.167636,1.120601,1.128794,1.128794,3837692
2022-03-19,1.128469,1.183058,1.114146,1.164500,1.164500,4403101
2022-03-20,1.164518,1.168671,1.113750,1.115576,1.115576,3174975
2022-03-21,1.115817,1.171939,1.103075,1.162769,1.162769,3698863
2022-03-22,1.162893,1.174484,1.146628,1.153428,1.153428,3242551
2022-03-23,1.153259,1.155297,1.102392,1.128600,1.128600,4952154
2022-03-24,1.128735,1.167255,1.097661,1.152581,1.152581,6291506
2022-03-25,1.152662,1.182980,1.142352,1.158485,1.158485,3655536
2022-03-26,1.158398,1.173727,1.148555,1.151040,1.151040,2669281
2022-03-27,1.150991,1.222982,1.145503,1.222933,1.222933,4786966
2022-03-28,1.223006,1.307417,1.206768,1.270255,1.270255,9045743
2022-03-29,1.269960,1.310996,1.235569,1.267315,1.267315,7795410
2022-03-30,1.270753,1.320607,1.254635,1.298280,1.298280,6722471
2022-03-31,1.298417,1.333713,1.253977,1.258472,1.258472,6908030
2022-04-01,1.258538,1.316913,1.219686,1.306913,1.306913,5571619
2022-04-02,1.307028,1.334752,1.281202,1.295656,1.295656,4543943
2022-04-03,1.295755,1.335227,1.294794,1.328731,1.328731,3991360
2022-04-04,1.328490,1.328490,1.254001,1.303224,1.303224,4485876
2022-04-05,1.303266,1.321158,1.274124,1.289926,1.289926,4390418
2022-04-06,1.289533,1.289533,1.177794,1.180884,1.180884,6706947
2022-04-07,1.180521,1.204222,1.151052,1.176249,1.176249,6541239
2022-04-08,1.176162,1.196044,1.119092,1.126478,1.126478,4169659
2022-04-09,1.126478,1.139544,1.117856,1.132802,1.132802,2343169
2022-04-10,1.132875,1.163126,1.118972,1.123192,1.123192,3394613
2022-04-11,1.123109,1.123109,1.004193,1.015382,1.015382,6753612
2022-04-12,1.015260,1.063023,1.010349,1.042879,1.042879,5561141
2022-04-13,1.042946,1.087239,1.034536,1.082643,1.082643,4014876
2022-04-14,1.082423,1.100127,1.018010,1.025457,1.025457,3528774
2022-04-15,1.025293,1.037694,1.010567,1.035690,1.035690,3485700
2022-04-16,1.035789,1.056238,0.960319,0.974266,0.974266,4214027
2022-04-17,0.974178,0.979897,0.929764,0.930470,0.930470,4484091
2022-04-18,0.930500,1.075004,0.891937,1.075004,1.075004,9002164
2022-04-19,1.073461,1.102081,1.045640,1.065017,1.065017,13297680
2022-04-20,1.064571,1.083865,1.032339,1.035959,1.035959,7547287
2022-04-21,1.035858,1.040533,0.968051,0.979064,0.979064,4397088
2022-04-22,0.978863,1.012038,0.928951,0.945692,0.945692,4614317
2022-04-23,0.945663,0.961720,0.915654,0.922650,0.922650,5666227
2022-04-24,0.922410,0.926080,0.891005,0.891932,0.891932,4416058
2022-04-25,0.891689,0.962758,0.852989,0.954397,0.954397,12434787
2022-04-26,0.954164,0.964706,0.863908,0.867124,0.867124,5343643
2022-04-27,0.866931,0.892106,0.847104,0.853034,0.853034,5933772
2022-04-28,0.853298,0.872979,0.839113,0.839431,0.839431,3741794
2022-04-29,0.839188,0.850956,0.779141,0.779944,0.779944,4793189
2022-04-30,0.779977,0.790382,0.712637,0.720845,0.720845,3091583
2022-05-01,0.720512,0.730131,0.688611,0.714265,0.714265,5834017
2022-05-02,0.718067,0.744634,0.699172,0.724808,0.724808,4646627
2022-05-03,0.724735,0.732026,0.703448,0.712671,0.712671,4120874
2022-05-04,0.712632,0.811793,0.711121,0.805022,0.805022,5188836
2022-05-05,0.804918,0.813401,0.686803,0.711729,0.711729,5435769
2022-05-06,0.711458,0.712647,0.648274,0.671842,0.671842,6683581
2022-05-07,0.671806,0.673567,0.623081,0.633833,0.633833,3528915
2022-05-08,0.633865,0.637186,0.551045,0.575279,0.575279,7145346
2022-05-09,0.575515,0.589880,0.446353,0.452902,0.452902,8868293
2022-05-10,0.450216,0.512090,0.416901,0.475051,0.475051,7538434
2022-05-11,0.474971,0.513463,0.374121,0.381704,0.381704,7893095
2022-05-12,0.381616,0.388163,0.295754,0.331895,0.331895,5503997
2022-05-13,0.332063,0.383830,0.331270,0.351271,0.351271,4801284
2022-05-14,0.350980,0.374386,0.331681,0.373914,0.373914,2146179
2022-05-15,0.375837,0.405891,0.351831,0.393957,0.393957,2676824
2022-05-16,0.394019,0.395483,0.364308,0.370541,0.370541,1510978
2022-05-17,0.370569,0.386767,0.364900,0.380887,0.380887,1515794
2022-05-18,0.380837,0.386889,0.359443,0.361394,0.361394,1481636
2022-05-19,0.361114,0.370095,0.344188,0.370088,0.370088,1653609
2022-05-20,0.370100,0.371449,0.349678,0.354031,0.354031,1198226
2022-05-21,0.354017,0.366788,0.350572,0.366106,0.366106,1276603
2022-05-22,0.366028,0.383000,0.363386,0.382817,0.382817,1329324
2022-05-23,0.382125,0.403246,0.374198,0.384207,0.384207,2504958
2022-05-24,0.384157,0.387245,0.366019,0.385564,0.385564,1576569
2022-05-25,0.385352,0.388580,0.372829,0.374842,0.374842,1462111
2022-05-26,0.374813,0.377549,0.353877,0.366506,0.366506,1348465
2022-05-27,0.364861,0.366835,0.337934,0.345162,0.345162,1108086
2022-05-28,0.356094,0.357870,0.343589,0.346460,0.346460,995854
2022-05-29,0.346412,0.360839,0.344751,0.360129,0.360129,744308
2022-05-30,0.360371,0.392078,0.358751,0.384070,0.384070,1803674
2022-05-31,0.384103,0.397386,0.384053,0.390040,0.390040,1483596
2022-06-01,0.389810,0.391392,0.368847,0.373758,0.373758,1742189
2022-06-02,0.373774,0.378010,0.363561,0.374248,0.374248,1125771
2022-06-03,0.374197,0.375558,0.357366,0.362410,0.362410,1137832
2022-06-04,0.362318,0.363204,0.353537,0.359215,0.359215,938019
2022-06-05,0.359273,0.374014,0.356604,0.368791,0.368791,1606746
2022-06-06,0.368662,0.385544,0.368662,0.371080,0.371080,1906277
2022-06-07,0.371045,0.380720,0.360555,0.376831,0.376831,1909004
2022-06-08,0.376831,0.377844,0.365742,0.369131,0.369131,1375648
2022-06-09,0.369183,0.378910,0.366075,0.375792,0.375792,1311413
2022-06-10,0.375748,0.379927,0.354317,0.354317,0.354317,1390823
2022-06-11,0.354663,0.355907,0.353602,0.354234,0.354234,1412452
